SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
cnsfails202003b.txt,20200316,36467W109,GME,849497,GAMESTOP CORP (HLDG CO) CL A,4.59
cnsfails202003b.txt,20200317,36467W109,GME,464216,GAMESTOP CORP (HLDG CO) CL A,4.37
cnsfails202003b.txt,20200318,36467W109,GME,636141,GAMESTOP CORP (HLDG CO) CL A,4.23
cnsfails202003b.txt,20200319,36467W109,GME,335317,GAMESTOP CORP (HLDG CO) CL A,3.77
cnsfails202003b.txt,20200320,36467W109,GME,185738,GAMESTOP CORP (HLDG CO) CL A,4.19
cnsfails202003b.txt,20200323,36467W109,GME,291454,GAMESTOP CORP (HLDG CO) CL A,3.76
cnsfails202003b.txt,20200324,36467W109,GME,1498144,GAMESTOP CORP (HLDG CO) CL A,3.81
cnsfails202003b.txt,20200325,36467W109,GME,224694,GAMESTOP CORP (HLDG CO) CL A,4.16
cnsfails202003b.txt,20200326,36467W109,GME,398580,GAMESTOP CORP (HLDG CO) CL A,4.17
cnsfails202003b.txt,20200327,36467W109,GME,377092,GAMESTOP CORP (HLDG CO) CL A,4.41
cnsfails202003b.txt,20200330,36467W109,GME,324973,GAMESTOP CORP (HLDG CO) CL A,4.22
cnsfails202003b.txt,20200331,36467W109,GME,298721,GAMESTOP CORP (HLDG CO) CL A,3.65
cnsfails202003a.txt,20200302,36467W109,GME,322892,GAMESTOP CORP (HLDG CO) CL A,3.60
cnsfails202003a.txt,20200303,36467W109,GME,601189,GAMESTOP CORP (HLDG CO) CL A,3.83
cnsfails202003a.txt,20200304,36467W109,GME,438344,GAMESTOP CORP (HLDG CO) CL A,3.63
cnsfails202003a.txt,20200305,36467W109,GME,550912,GAMESTOP CORP (HLDG CO) CL A,3.77
cnsfails202003a.txt,20200306,36467W109,GME,343210,GAMESTOP CORP (HLDG CO) CL A,3.96
cnsfails202003a.txt,20200309,36467W109,GME,311642,GAMESTOP CORP (HLDG CO) CL A,3.92
cnsfails202003a.txt,20200310,36467W109,GME,435660,GAMESTOP CORP (HLDG CO) CL A,3.70
cnsfails202003a.txt,20200311,36467W109,GME,561593,GAMESTOP CORP (HLDG CO) CL A,4.23
cnsfails202003a.txt,20200312,36467W109,GME,557744,GAMESTOP CORP (HLDG CO) CL A,4.14
cnsfails202003a.txt,20200313,36467W109,GME,542687,GAMESTOP CORP (HLDG CO) CL A,3.98
cnsfails202002b.txt,20200218,36467W109,GME,46543,GAMESTOP CORP (HLDG CO) CL A,4.02
cnsfails202002b.txt,20200219,36467W109,GME,81566,GAMESTOP CORP (HLDG CO) CL A,4.06
cnsfails202002b.txt,20200220,36467W109,GME,42443,GAMESTOP CORP (HLDG CO) CL A,4.15
cnsfails202002b.txt,20200221,36467W109,GME,104661,GAMESTOP CORP (HLDG CO) CL A,4.14
cnsfails202002b.txt,20200224,36467W109,GME,86239,GAMESTOP CORP (HLDG CO) CL A,4.04
cnsfails202002b.txt,20200225,36467W109,GME,60091,GAMESTOP CORP (HLDG CO) CL A,3.70
cnsfails202002b.txt,20200226,36467W109,GME,177030,GAMESTOP CORP (HLDG CO) CL A,3.56
cnsfails202002b.txt,20200227,36467W109,GME,768699,GAMESTOP CORP (HLDG CO) CL A,3.39
cnsfails202002b.txt,20200228,36467W109,GME,1689064,GAMESTOP CORP (HLDG CO) CL A,3.47
cnsfails202101a.txt,20210104,36467W109,GME,182269,GAMESTOP CORP (HLDG CO) CL A,18.84
cnsfails202101a.txt,20210105,36467W109,GME,490723,GAMESTOP CORP (HLDG CO) CL A,17.25
cnsfails202101a.txt,20210106,36467W109,GME,772112,GAMESTOP CORP (HLDG CO) CL A,17.37
